Dataset,Model,Category,accuracy,precision,recall,f1,roc_auc,resource_ram_usage_mb,resource_cpu_percent,resource_inference_time_ms,resource_model_size_kb,resource_ram_delta_mb,resource_train_time_s
Edge-IIoT,Random Forest,ML,0.9993979721166032,0.999288895542498,1.0,0.9996443213088976,0.9998960250304404,481.63671875,0.9,0.0620047999545931,1809.5048828125,,
Edge-IIoT,XGBoost,ML,0.9994296577946769,0.9993262968785088,1.0,0.9996630349320452,0.9999423868312756,792.765625,78.5,0.0015116007998585,165.3515625,,
Edge-IIoT,SVM,ML,0.911533586818758,0.9086837606837608,0.9954681647940076,0.9500983020554066,0.9478662011991184,794.671875,0.8,0.2834097994491458,1402.6630859375,,
Edge-IIoT,Logistic Reg.,ML,0.9200570342205324,0.9197833107615376,0.9920224719101124,0.9545380831396292,0.9388346896626132,796.8984375,1.7,0.0002054003998637,1.03515625,,
Edge-IIoT,DNN,DL,0.997211660329531,0.9980163185867206,0.998689138576779,0.998352615223333,0.999639636411276,882.43359375,0.0,0.1306808004155755,239.7900390625,,
Edge-IIoT,CNN-1D,DL,0.8769328263624842,0.8731763166503108,0.9997378277153558,0.9321808975030555,0.7068690178942988,963.109375,0.0,0.1554531995207071,152.076171875,,
Edge-IIoT,LSTM,DL,0.8929024081115335,0.8877618889258397,0.999812734082397,0.9404615113616348,0.8030254465868281,1040.2734375,0.0,0.3137806002050638,397.107421875,,
Edge-IIoT,DQN (RL),RL,0.910551330798479,0.9112044914407744,0.9908239700374532,0.9493477831805214,0.9419641112190008,1099.65625,2.7,0.1382205998525023,215.9462890625,,
Edge-IIoT,TinyML (Q-DNN),TinyML,0.918,0.9296482412060302,0.9776864357017028,0.953062392673154,0.8688489909863956,1142.98046875,0.8,0.0101634999737143,11.609375,,
NSL-KDD,Random Forest,ML,0.7730660042583393,0.966961152123926,0.6226135743785552,0.7574895714827455,0.9729309676471504,1228.41796875,0.9,0.0928125996142625,7510.5283203125,,
NSL-KDD,XGBoost,ML,0.8097054648687012,0.9688288881571726,0.6878360476895504,0.8045023696682464,0.9678650384084134,1242.46875,89.5,0.0015893997624516,288.8671875,,
NSL-KDD,SVM,ML,0.7849538679914834,0.9755807027992852,0.6381983947635004,0.7716223855285472,0.9325004714484396,1255.265625,0.0,0.0820161998271942,419.6083984375,,
NSL-KDD,Logistic Reg.,ML,0.7539034776437189,0.9251780086377962,0.6176264318553729,0.7407476635514019,0.8714106355991593,1255.41796875,0.9,0.0002268003299832,1.02734375,,
NSL-KDD,DNN,DL,0.7716022001419447,0.9716425239381292,0.6167692667342008,0.7545640878974212,0.9575084269527906,1264.1953125,1.9,0.1273148003965616,238.3037109375,,
NSL-KDD,CNN-1D,DL,0.8011887863733144,0.9175082491750824,0.7150315592612795,0.8037137601821844,0.9212665016883996,1300.29296875,1.1,0.1486021997407078,152.083984375,,
NSL-KDD,LSTM,DL,0.7669002838892832,0.9801064368981248,0.6027429283877503,0.7464414957780459,0.9208695309082208,1351.98828125,0.9,0.2991965999826789,397.11328125,,
NSL-KDD,DQN (RL),RL,0.7561213626685592,0.9689298043728424,0.5905088443855685,0.7338045899099448,0.8944827256324628,1378.15234375,0.0,0.1439942000433802,214.4482421875,,
NSL-KDD,TinyML (Q-DNN),TinyML,0.7875,0.9764542936288088,0.633423180592992,0.7683923705722071,0.8673431040962044,1550.359375,1.8,0.0124204996973276,11.546875,,
TON_IoT,Random Forest,ML,1.0,1.0,1.0,1.0,1.0,400.34375,0.0,0.060006000101566315,336.115234375,0.17578125,0.310471773147583
TON_IoT,XGBoost,ML,1.0,1.0,1.0,1.0,1.0,717.875,64.0,0.0013443995267152786,114.0322265625,0.0,1.968130350112915
TON_IoT,SVM,ML,0.9990613266583229,0.9983150800336984,0.9991568296795953,0.9987357774968394,0.9999981123052529,710.4296875,0.8,0.03081400040537119,204.6982421875,-1.34375,1.9879775047302246
TON_IoT,Logistic Reg.,ML,0.9996871088861077,1.0,0.9991568296795953,0.9995782370307887,0.9999991610245569,709.24609375,13.9,0.0007276004180312157,1.09765625,0.0,1.7936065196990967
TON_IoT,DNN,DL,0.9993742177722152,0.9983164983164983,1.0,0.9991575400168492,0.9999987415368352,789.99609375,7.8,0.14311840012669563,251.7900390625,0.16015625,4.575438499450684
TON_IoT,CNN-1D,DL,0.6724030037546934,0.59254327563249,0.3752107925801012,0.45947341249354673,0.8255906387120049,867.82421875,0.0,0.17990280035883188,152.076171875,0.4296875,3.1984803676605225
TON_IoT,LSTM,DL,0.9083229036295369,0.8997314234556849,0.8473861720067454,0.8727746417716022,0.9730982524141518,946.05859375,0.0,0.34149459935724735,397.107421875,0.0390625,16.208472728729248
TON_IoT,DQN (RL),RL,0.9959324155193993,0.9991489361702127,0.9898819561551433,0.9944938585345193,0.9994873860042117,1167.91015625,0.0,0.12054940033704042,227.9462890625,0.00390625,748.1358976364136
TON_IoT,TinyML (Q-DNN),TinyML,0.9995,1.0,0.9986431478968792,0.9993211133740665,1.0,1210.41796875,0.0,0.011974500957876444,12.109375,0.0,3.8891289234161377
